404 URL Path,Last Crawled,Category,Priority,Suggested Redirect,Notes
/crispr/crispr-gene-targeting,"Feb 25, 2026",crispr,HIGH,/crispr-cas9-mouse-models/,
/floxed/lox-p/cre-floxed-mice,"Feb 25, 2026",floxed,HIGH,/conditional-knockout-mouse-models/,
/crispr/crispr-gene-knockout,"Feb 25, 2026",crispr,HIGH,/crispr-cas9-mouse-models/,
/mouse-models/cre-lox-facts,"Feb 24, 2026",mouse-models,HIGH,/knockout-mouse-models/,
/floxed/lox-p/cre-flox,"Feb 24, 2026",floxed,HIGH,/conditional-knockout-mouse-models/,
/mutation/conditional-mutation,"Feb 24, 2026",mutation,HIGH,/ingenious-blog/,
/stem-cell/cell-strains,"Feb 24, 2026",stem-cell,HIGH,/stem-cell-services/,
/author/ingenious,"Feb 23, 2026",author,HIGH,,
/floxed/cre-lox/flox-sequence,"Feb 23, 2026",floxed,HIGH,/conditional-knockout-mouse-models/,
/mutation/types-of-point-mutations,"Feb 23, 2026",mutation,HIGH,/ingenious-blog/,
/transgenic/what-is-a-transgene,"Feb 23, 2026",transgenic,HIGH,/transgenic-mouse-models/,
/transgenic-mice/a-new-mouse-line-for-tissue-specific-expression,"Feb 22, 2026",transgenic-mice,HIGH,/transgenic-mouse-models/,
/conditional-knockout/conditional-knockout-mouse-protocol,"Feb 22, 2026",conditional-knockout,HIGH,/conditional-knockout-mouse-models/,
/crispr/crispr-cas9,"Feb 22, 2026",crispr,HIGH,/crispr-cas9-mouse-models/,
/transgenic/bac-transgenic,"Feb 22, 2026",transgenic,HIGH,/transgenic-mouse-models/,
/conditional/conditional-knockout-mice,"Feb 22, 2026",conditional,HIGH,/conditional-knockout-mouse-models/,
/conditional-knockout/conditional-knockout-mouse-and-global-knockout-mo,"Feb 22, 2026",conditional-knockout,HIGH,/conditional-knockout-mouse-models/,
/knockout/gene-knockout,"Feb 22, 2026",knockout,HIGH,/knockout-mouse-models/,
/transgenic/transgenic-mouse-model,"Feb 22, 2026",transgenic,HIGH,/transgenic-mouse-models/,
/transgenic/transgenic-mice,"Feb 21, 2026",transgenic,HIGH,/transgenic-mouse-models/,
/rats/what-is-a-knockout-rat,"Feb 21, 2026",rats,HIGH,/crispr-cas9-mouse-models/,
/knockdown/knockdown-mice,"Feb 21, 2026",knockdown,HIGH,/knockout-mouse-models/,
/knockin/knock-in-mice-vs-transgenic-mice,"Feb 21, 2026",knockin,HIGH,/knockin-mouse-models/,
/conventional/conventional-vs-conditional-knockout,"Feb 21, 2026",conventional,HIGH,/conventional-knockout-mouse-models/,
/knockin/how-to-make-a-knock-in-mouse,"Feb 21, 2026",knockin,HIGH,/knockin-mouse-models/,
/category/conditional-knockout,"Feb 21, 2026",category,HIGH,,
/knockin/rosa26-knockin,"Feb 20, 2026",knockin,HIGH,/knockin-mouse-models/,
/conventional/conventional-knockout,"Feb 20, 2026",conventional,HIGH,/conventional-knockout-mouse-models/,
/mutation/what-is-a-point-mutation,"Feb 20, 2026",mutation,HIGH,/ingenious-blog/,
/transgenic/how-to-make-a-transgenic-mouse,"Feb 19, 2026",transgenic,HIGH,/transgenic-mouse-models/,
/colorectal-cancer-mouse-models,"Feb 19, 2026",colorectal-cancer-mouse-models,HIGH,,
/pancreatic-cancer-mouse-models,"Feb 18, 2026",pancreatic-cancer-mouse-models,HIGH,,
/lung-cancer-mouse-models,"Feb 18, 2026",lung-cancer-mouse-models,HIGH,,
/cre-driver-catalog,"Feb 18, 2026",cre-driver-catalog,HIGH,,
/stem-cell/what-is-a-stem-cell-line,"Feb 17, 2026",stem-cell,HIGH,/stem-cell-services/,
/mutation/point-mutation-diseases,"Feb 17, 2026",mutation,HIGH,/ingenious-blog/,
/knockout/knockout-mouse-made,"Feb 16, 2026",knockout,HIGH,/knockout-mouse-models/,
/neuromuscular-disease-mice,"Feb 16, 2026",neuromuscular-disease-mice,HIGH,,
/glaucoma-mouse-models,"Feb 16, 2026",glaucoma-mouse-models,HIGH,,
/blog/history-of-creating-genetically-humanized-mice,"Feb 15, 2026",blog,HIGH,/ingenious-blog/,
/terms/amp,"Feb 14, 2026",terms,HIGH,,
/newsletter,"Jan 18, 2026",newsletter,HIGH,,
/start-your-project-copy,"Jan 11, 2026",start-your-project-copy,HIGH,,
/stem-cell/what-is-a-stem-,"Dec 24, 2025",stem-cell,HIGH,/stem-cell-services/,
/Client-Testimonials.asp,"Dec 14, 2025",Client-Testimonials.asp,HIGH,,
/conditional-knockout-mouse-models/amp,"Dec 5, 2025",conditional-knockout-mouse-models,HIGH,,
/stem-cell/mouse-embryonic-stem-cells,"Dec 4, 2025",stem-cell,HIGH,/stem-cell-services/,
/large-scale-targeting,"Dec 3, 2025",large-scale-targeting,HIGH,,
/catalog/humanized-mice/single-immune-checkpoint,"Dec 3, 2025",catalog,HIGH,/catalog-mouse-models/,
/custom-mouse-rat-rabbit-model-pricing,"Dec 2, 2025",custom-mouse-rat-rabbit-model-pricing,HIGH,,
/ingenious-,"Nov 26, 2025",ingenious-,HIGH,,
/catalog,"Nov 15, 2025",catalog,HIGH,/catalog-mouse-models/,
/news-events/itl-and-charles-river-announce-availability-of-trurat-mode,"Nov 14, 2025",news-events,HIGH,,
/news-events/itl-launches-proprietary-fusion-gens-technology-for-accele,"Nov 14, 2025",news-events,HIGH,,
/technologies,"Nov 11, 2025",technologies,HIGH,,
/conventional-knockout-mouse-models/amp,"Nov 9, 2025",conventional-knockout-mouse-models,HIGH,,
/news-events/itl-expands-partnership-with-taconic-biosciences-for-custo,"Nov 9, 2025",news-events,HIGH,,
/preclinical-solutions,"Nov 5, 2025",preclinical-solutions,HIGH,,
/ingenious-process,"Nov 2, 2025",ingenious-process,HIGH,,
/blog,"Oct 29, 2025",blog,HIGH,,
/cohort-development,"Oct 29, 2025",cohort-development,HIGH,,
/fast-technology,"Oct 27, 2025",fast-technology,HIGH,,
/targeting-vectors,"Oct 26, 2025",targeting-vectors,HIGH,,
/rabbit-models,"Oct 25, 2025",rabbit-models,HIGH,,
/amp,"Oct 23, 2025",amp,HIGH,,
/rats/knockout-rat-models,"Oct 21, 2025",rats,HIGH,/crispr-cas9-mouse-models/,
/catalog/humanized-mice,"Oct 20, 2025",catalog,HIGH,/catalog-mouse-models/,
/catalog/humanized-mice/humanized-immune-target-mice,"Oct 19, 2025",catalog,HIGH,/catalog-mouse-models/,
/catalog/humanized-mice/double-immune-checkpoint,"Oct 19, 2025",catalog,HIGH,/catalog-mouse-models/,
/mouse-genotyping,"Oct 15, 2025",mouse-genotyping,HIGH,,
/conditional-ko-with-reporter,"Oct 15, 2025",conditional-ko-with-reporter,HIGH,,
/rosa26-locus,"Oct 15, 2025",rosa26-locus,HIGH,,
/order-inquiry,"Oct 14, 2025",order-inquiry,HIGH,,
/contact,"Oct 14, 2025",contact,HIGH,,
/knockin-mice,"Oct 14, 2025",knockin-mice,HIGH,,
/conditional-knockout-mice,"Oct 14, 2025",conditional-knockout-mice,HIGH,,
/p53-mouse-models,"Oct 13, 2025",p53-mouse-models,HIGH,,
/point-mutation,"Oct 13, 2025",point-mutation,HIGH,,
/pdfs,"Oct 13, 2025",pdfs,HIGH,,
/conventional-knockout-mice,"Oct 13, 2025",conventional-knockout-mice,HIGH,,
/targeted-transgenics,"Oct 12, 2025",targeted-transgenics,HIGH,,
/collaboration,"Sep 22, 2025",collaboration,HIGH,,
/tag/crispr,"Sep 16, 2025",tag,HIGH,,
/tag/rabbit-models,"Sep 15, 2025",tag,HIGH,,
/universal,"Sep 7, 2025",universal,HIGH,,
/tag/mouse-models,"Sep 5, 2025",tag,HIGH,,
