Campaign,Ad Group,Final URL,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Path 1,Path 2
"ITL - Dynamic Ads","General","https://www.genetargeting.com/c57bl6-mouse-background","C57BL/6 Mouse Strain Backgroun","C57BL/6 mouse background for","Request a Quote","C57BL/6 mouse background for gene targeting research. The most used inbred strain with","Custom mouse models since 1998. Expert team. Guaranteed results.","c57bl6-mouse-background",""
"ITL - Dynamic Ads","Cardiovascular","https://www.genetargeting.com/cardiovascular-mouse-models","Cardiovascular Mouse Models |","Cardiovascular mouse models","Request a Quote","Cardiovascular mouse models for studying heart disease, vascular biology, and cardiac","Custom mouse models since 1998. Expert team. Guaranteed results.","cardiovascular-mouse-models",""
"ITL - Dynamic Ads","Disease Models","https://www.genetargeting.com/catalog-mouse-models","Ready Made Mouse Model Catalog","custom projects","Request a Quote","Browse ready made mouse models including humanized checkpoint mice and reporter strains.","Custom mouse models since 1998. Expert team. Guaranteed results.","catalog-mouse-models",""
"ITL - Dynamic Ads","Knockin Services","https://www.genetargeting.com/cdna-knockin","cDNA Knockin Mouse Models","cDNA knockin mice for","Request a Quote","cDNA knockin mice for expressing genes under endogenous regulatory control. Insert coding","Custom mouse models since 1998. Expert team. Guaranteed results.","cdna-knockin",""
"ITL - Dynamic Ads","Services","https://www.genetargeting.com/colony-management-services","Mouse Colony Management","Full service mouse colony","Request a Quote","Full service mouse colony management including breeding, health monitoring, and record","Custom mouse models since 1998. Expert team. Guaranteed results.","colony-management-services",""
"ITL - Dynamic Ads","Knockin Services","https://www.genetargeting.com/conditional-knockin-mice","Conditional Knockin Mouse","2,500+ projects","Request a Quote","Conditional knockin mice for controlled gene expression. Activate transgenes in specific","Custom mouse models since 1998. Expert team. Guaranteed results.","conditional-knockin-mice",""
"ITL - Dynamic Ads","Knockout Services","https://www.genetargeting.com/conditional-knockout-mouse-models","Conditional Knockout Mouse","Conditional knockout mice","Request a Quote","Conditional knockout mice with tissue specific or inducible gene deletion using Cre LoxP","Custom mouse models since 1998. Expert team. Guaranteed results.","conditional-knockout-mouse-models",""
"ITL - Dynamic Ads","Resources","https://www.genetargeting.com/conditional-vs-conventional-guide","Conditional vs Conventional","Compare conditional and","Request a Quote","Compare conditional and conventional knockout strategies. Learn when to choose tissue","Custom mouse models since 1998. Expert team. Guaranteed results.","conditional-vs-conventional-guide",""
"ITL - Dynamic Ads","Knockout Services","https://www.genetargeting.com/conventional-knockout-mouse-models","Conventional Knockout Mouse","2,500+ projects","Request a Quote","Conventional knockout mice for studying complete gene loss of function. Global gene","Custom mouse models since 1998. Expert team. Guaranteed results.","conventional-knockout-mouse-models",""
"ITL - Dynamic Ads","Conditional Systems","https://www.genetargeting.com/cre-line-selection-guide","Cre Driver Line Selection","Guide to selecting the right","Request a Quote","Guide to selecting the right Cre driver for your floxed allele. Compare constitutive,","Custom mouse models since 1998. Expert team. Guaranteed results.","cre-line-selection-guide",""
"ITL - Dynamic Ads","Conditional Systems","https://www.genetargeting.com/cre-lox-system","Cre Lox System","Cre LoxP recombination system","Request a Quote","Cre LoxP recombination system for conditional gene targeting. Tissue specific and","Custom mouse models since 1998. Expert team. Guaranteed results.","cre-lox-system",""
"ITL - Dynamic Ads","Conditional Systems","https://www.genetargeting.com/cre-recombinase-mice","Cre Recombinase Mouse Lines","Cre recombinase mice for","Request a Quote","Cre recombinase mice for conditional gene targeting experiments. Cross with floxed","Custom mouse models since 1998. Expert team. Guaranteed results.","cre-recombinase-mice",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/critical-exon-selection","Critical Exon Selection for","Critical exon selection for","Request a Quote","Critical exon selection for effective gene knockouts. Target exons essential for protein","Custom mouse models since 1998. Expert team. Guaranteed results.","critical-exon-selection",""
"ITL - Dynamic Ads","Services","https://www.genetargeting.com/cryopreservation-services","Mouse Cryopreservation","Mouse embryo and sperm","Request a Quote","Mouse embryo and sperm cryopreservation for long term colony preservation. Protect","Custom mouse models since 1998. Expert team. Guaranteed results.","cryopreservation-services",""
"ITL - Dynamic Ads","Humanized Models","https://www.genetargeting.com/ctla4-humanized-mice","CTLA4 Humanized Mouse Models","CTLA4 humanized mice expressin","Request a Quote","CTLA4 humanized mice expressing human CTLA4 for testing anti CTLA4 checkpoint inhibitor","Custom mouse models since 1998. Expert team. Guaranteed results.","ctla4-humanized-mice",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/current-openings","Careers at iTL","Join the iTL team","Request a Quote","Join the iTL team. Career opportunities in mouse genetics, molecular biology, animal","Custom mouse models since 1998. Expert team. Guaranteed results.","current-openings",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/custom-animal-models","Custom Animal Models","Custom Animal","Request a Quote","Custom Animal Models from ingenious targeting laboratory. Custom mouse model engineering","Custom mouse models since 1998. Expert team. Guaranteed results.","custom-animal-models",""
"ITL - Dynamic Ads","Disease Models","https://www.genetargeting.com/custom-mouse-models","Custom Mouse Models | Gene","2,500+ projects","Request a Quote","Custom mouse models designed and engineered for your research. Knockouts, knockins,","Custom mouse models since 1998. Expert team. Guaranteed results.","custom-mouse-models",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/custom-projects","Custom Mouse Model Projects","guaranteed results","Request a Quote","Design and build custom knockout, knockin, and transgenic mouse models for your research.","Custom mouse models since 1998. Expert team. Guaranteed results.","custom-projects",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/custom-rabbit-models","Custom Rabbit Models","Custom Rabbit","Request a Quote","Custom Rabbit Models from ingenious targeting laboratory. Custom mouse model engineering","Custom mouse models since 1998. Expert team. Guaranteed results.","custom-rabbit-models",""
"ITL - Dynamic Ads","Metabolic","https://www.genetargeting.com/diabetes-mouse-models","Diabetes Mouse Models | ITL","Diabetes mouse models for","Request a Quote","Diabetes mouse models for studying insulin signaling, beta cell function, and glucose","Custom mouse models since 1998. Expert team. Guaranteed results.","diabetes-mouse-models",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/disease-model-catalog","Disease Mouse Model Catalog","Ready made disease models for","Request a Quote","Ready made disease models for cancer, metabolic, autoimmune, and neurological research.","Custom mouse models since 1998. Expert team. Guaranteed results.","disease-model-catalog",""
"ITL - Dynamic Ads","Disease Models","https://www.genetargeting.com/double-checkpoint-mice","Double Checkpoint Mice","Custom mouse","Request a Quote","Double Checkpoint Mice from ingenious targeting laboratory. Custom mouse model engineering","Custom mouse models since 1998. Expert team. Guaranteed results.","double-checkpoint-mice",""
"ITL - Dynamic Ads","Resources","https://www.genetargeting.com/faq","FAQ | Mouse Model Questions","custom mouse","Request a Quote","Answers to common questions about custom mouse models, gene targeting, timelines, costs,","Custom mouse models since 1998. Expert team. Guaranteed results.","faq",""
"ITL - Dynamic Ads","Conditional Systems","https://www.genetargeting.com/flp-frt-system","Flp FRT Recombination System","Flp FRT recombination for","Request a Quote","Flp FRT recombination for removing selection cassettes and creating dual recombinase","Custom mouse models since 1998. Expert team. Guaranteed results.","flp-frt-system",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/gene-replacement","Gene Replacement Mouse Models","Gene replacement mice to swap","Request a Quote","Gene replacement mice to swap mouse genes with human or modified sequences. Study human","Custom mouse models since 1998. Expert team. Guaranteed results.","gene-replacement",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/glossary","Mouse Genetics Glossary","Definitions for knockout,","Request a Quote","Definitions for knockout, knockin, Cre lox, CRISPR, and other mouse genetics terms. Learn","Custom mouse models since 1998. Expert team. Guaranteed results.","glossary",""
"ITL - Dynamic Ads","Cardiovascular","https://www.genetargeting.com/heart-failure-mouse-models","Heart Failure Mouse Models |","Heart failure mouse models","Request a Quote","Heart failure mouse models for studying cardiac remodeling, contractile dysfunction, and","Custom mouse models since 1998. Expert team. Guaranteed results.","heart-failure-mouse-models",""
"ITL - Dynamic Ads","Humanized Models","https://www.genetargeting.com/humanized-immune-checkpoint-mice","Humanized Immune Checkpoint","Humanized immune checkpoint","Request a Quote","Humanized immune checkpoint mice for immuno oncology drug development. Test human PD1,","Custom mouse models since 1998. Expert team. Guaranteed results.","humanized-immune-checkpoint-mice",""
"ITL - Dynamic Ads","Humanized Models","https://www.genetargeting.com/humanized-mouse-models","Humanized Mouse Models","Humanized mouse models","Request a Quote","Humanized mouse models replacing mouse genes with human orthologs. Ideal for drug","Custom mouse models since 1998. Expert team. Guaranteed results.","humanized-mouse-models",""
"ITL - Dynamic Ads","Disease Models","https://www.genetargeting.com/ibd-mouse-models","IBD Mouse Models | ITL","IBD mouse models for studying","Request a Quote","IBD mouse models for studying inflammatory bowel disease, colitis, and gut barrier","Custom mouse models since 1998. Expert team. Guaranteed results.","ibd-mouse-models",""
"ITL - Dynamic Ads","Oncology","https://www.genetargeting.com/immuno-oncology-mouse-models","Immuno Oncology Mouse Models","Immuno oncology mouse models","Request a Quote","Immuno oncology mouse models for studying tumor immunity and checkpoint inhibitors.","Custom mouse models since 1998. Expert team. Guaranteed results.","immuno-oncology-mouse-models",""
"ITL - Dynamic Ads","Immunology","https://www.genetargeting.com/immunology-mouse-models","Immunology Mouse Models | ITL","Immunology mouse models for","Request a Quote","Immunology mouse models for studying immune cell function, cytokine signaling, and immune","Custom mouse models since 1998. Expert team. Guaranteed results.","immunology-mouse-models",""
"ITL - Dynamic Ads","Knockout Services","https://www.genetargeting.com/inducible-conditional-knockout","Inducible Conditional","Inducible knockout mice with","Request a Quote","Inducible knockout mice with temporal control of gene deletion. Activate knockouts with","Custom mouse models since 1998. Expert team. Guaranteed results.","inducible-conditional-knockout",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/inducible-gene-expression","Inducible Gene Expression","Inducible gene expression","Request a Quote","Inducible gene expression systems for temporal control of transgenes. Tet on, Tet off,","Custom mouse models since 1998. Expert team. Guaranteed results.","inducible-gene-expression",""
"ITL - Dynamic Ads","Conditional Systems","https://www.genetargeting.com/inducible-rosa26","Inducible ROSA26 Expression","Inducible ROSA26 systems for","Request a Quote","Inducible ROSA26 systems for controlled transgene expression. Combine safe harbor","Custom mouse models since 1998. Expert team. Guaranteed results.","inducible-rosa26",""
"ITL - Dynamic Ads","Knockin Services","https://www.genetargeting.com/knockin-mouse-models","Knockin Mouse Models","Custom knockin","Request a Quote","Custom knockin mouse models including point mutations, reporters, and humanization.","Custom mouse models since 1998. Expert team. Guaranteed results.","knockin-mouse-models",""
"ITL - Dynamic Ads","Knockin Services","https://www.genetargeting.com/knockin-rat-models","Knockin Rat Models","Custom knockin","Request a Quote","Custom knockin rat models for gene insertion and modification. Point mutations, reporters,","Custom mouse models since 1998. Expert team. Guaranteed results.","knockin-rat-models",""
"ITL - Dynamic Ads","Knockout Services","https://www.genetargeting.com/knockout-mouse-models","Knockout Mouse Models","26+ years experience","Request a Quote","Custom knockout mouse models for research. Complete gene deletion using ES cell or CRISPR","Custom mouse models since 1998. Expert team. Guaranteed results.","knockout-mouse-models",""
"ITL - Dynamic Ads","Knockout Services","https://www.genetargeting.com/knockout-rat-models","Knockout Rat Models","Custom knockout","Request a Quote","Custom knockout rat models with complete gene deletion. Ideal for cardiovascular,","Custom mouse models since 1998. Expert team. Guaranteed results.","knockout-rat-models",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/lab-signals","Lab Signals Blog","Technical articles on mouse","Request a Quote","Technical articles on mouse model design, gene targeting strategies, and research","Custom mouse models since 1998. Expert team. Guaranteed results.","lab-signals",""
"ITL - Dynamic Ads","Humanized Models","https://www.genetargeting.com/lag3-humanized-mice","LAG3 Humanized Mouse Models","LAG3 humanized mice expressing","Request a Quote","LAG3 humanized mice expressing human LAG3 for testing anti LAG3 checkpoint inhibitor","Custom mouse models since 1998. Expert team. Guaranteed results.","lag3-humanized-mice",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/loxp-site-design","LoxP Site Design and Placement","LoxP site design principles","Request a Quote","LoxP site design principles for conditional alleles. Proper placement flanking critical","Custom mouse models since 1998. Expert team. Guaranteed results.","loxp-site-design",""
"ITL - Dynamic Ads","Disease Models","https://www.genetargeting.com/lupus-mouse-models","Lupus Mouse Models | ITL","Lupus mouse models for","Request a Quote","Lupus mouse models for studying systemic autoimmunity, nephritis, and autoantibody","Custom mouse models since 1998. Expert team. Guaranteed results.","lupus-mouse-models",""
"ITL - Dynamic Ads","Metabolic","https://www.genetargeting.com/metabolic-disease-mouse-models","Metabolic Disease Mouse","Metabolic disease mouse","Request a Quote","Metabolic disease mouse models for studying lipid metabolism, energy balance, and","Custom mouse models since 1998. Expert team. Guaranteed results.","metabolic-disease-mouse-models",""
"ITL - Dynamic Ads","Services","https://www.genetargeting.com/mouse-genotyping-service","Mouse Genotyping Services","Fast, accurate PCR genotyping","Request a Quote","Fast, accurate PCR genotyping for mouse colonies. Get results in 48 hours with validated","Custom mouse models since 1998. Expert team. Guaranteed results.","mouse-genotyping-service",""
"ITL - Dynamic Ads","Services","https://www.genetargeting.com/mouse-model-services","Mouse Model Services","Comprehensive mouse model","Request a Quote","Comprehensive mouse model services from design through delivery. Colony management,","Custom mouse models since 1998. Expert team. Guaranteed results.","mouse-model-services",""
"ITL - Dynamic Ads","Disease Models","https://www.genetargeting.com/muscular-dystrophy-mouse-models","Muscular Dystrophy Mouse","Muscular dystrophy mouse","Request a Quote","Muscular dystrophy mouse models for studying muscle degeneration and dystrophin pathology.","Custom mouse models since 1998. Expert team. Guaranteed results.","muscular-dystrophy-mouse-models",""
"ITL - Dynamic Ads","Metabolic","https://www.genetargeting.com/nash-mash-mouse-models","NASH and MASH Mouse Models |","NASH and MASH mouse models","Request a Quote","NASH and MASH mouse models for studying liver steatosis, fibrosis, and hepatic inflammatio","Custom mouse models since 1998. Expert team. Guaranteed results.","nash-mash-mouse-models",""
"ITL - Dynamic Ads","Neuroscience","https://www.genetargeting.com/neuroscience-mouse-models","Neuroscience Mouse Models |","Mouse models for neurodegenera","Request a Quote","Mouse models for neurodegeneration, synaptic function, and CNS disorders. Study disease","Custom mouse models since 1998. Expert team. Guaranteed results.","neuroscience-mouse-models",""
"ITL - Dynamic Ads","Metabolic","https://www.genetargeting.com/obesity-mouse-models","Obesity Mouse Models | ITL","Obesity mouse models for","Request a Quote","Obesity mouse models for studying energy homeostasis, adipose biology, and weight","Custom mouse models since 1998. Expert team. Guaranteed results.","obesity-mouse-models",""
"ITL - Dynamic Ads","Oncology","https://www.genetargeting.com/oncology-mouse-models","Oncology Mouse Models | ITL","Oncology mouse models for","Request a Quote","Oncology mouse models for cancer research and drug development. Tumor suppressors,","Custom mouse models since 1998. Expert team. Guaranteed results.","oncology-mouse-models",""
"ITL - Dynamic Ads","Disease Models","https://www.genetargeting.com/ophthalmology-mouse-models","Ophthalmology Mouse Models |","Ophthalmology mouse models","Request a Quote","Ophthalmology mouse models for studying retinal degeneration, glaucoma, and vision","Custom mouse models since 1998. Expert team. Guaranteed results.","ophthalmology-mouse-models",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/order-catalog-models","Order Mouse Models","Place your order for catalog","Request a Quote","Place your order for catalog mouse models. Request a quote for humanized checkpoint,","Custom mouse models since 1998. Expert team. Guaranteed results.","order-catalog-models",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/order-inquiry-catalog-models","Model Inquiry Form","Request pricing, availability,","Request a Quote","Request pricing, availability, and technical details for catalog mouse models. Our team","Custom mouse models since 1998. Expert team. Guaranteed results.","order-inquiry-catalog-models",""
"ITL - Dynamic Ads","Neuroscience","https://www.genetargeting.com/parkinsons-mouse-models","Parkinson","Parkinson","Request a Quote","Parkinson","Custom mouse models since 1998. Expert team. Guaranteed results.","parkinsons-mouse-models",""
"ITL - Dynamic Ads","Humanized Models","https://www.genetargeting.com/pd1-humanized-mice","PD1 Humanized Mouse Models","PD1 humanized mice expressing","Request a Quote","PD1 humanized mice expressing human PDCD1 for testing anti PD1 checkpoint inhibitor","Custom mouse models since 1998. Expert team. Guaranteed results.","pd1-humanized-mice",""
"ITL - Dynamic Ads","Humanized Models","https://www.genetargeting.com/pdl1-humanized-mice","PDL1 Humanized Mouse Models","PDL1 humanized mice expressing","Request a Quote","PDL1 humanized mice expressing human CD274 for testing anti PDL1 checkpoint inhibitor","Custom mouse models since 1998. Expert team. Guaranteed results.","pdl1-humanized-mice",""
"ITL - Dynamic Ads","Services","https://www.genetargeting.com/phenotyping-services","Mouse Phenotyping Services","Characterize mouse model","Request a Quote","Characterize mouse model phenotypes with behavioral, metabolic, and histological analysis.","Custom mouse models since 1998. Expert team. Guaranteed results.","phenotyping-services",""
"ITL - Dynamic Ads","Disease Models","https://www.genetargeting.com/point-mutation-mice","Point Mutation Mouse Models","Point mutation mice to model","Request a Quote","Point mutation mice to model human disease variants. Introduce SNPs or amino acid changes","Custom mouse models since 1998. Expert team. Guaranteed results.","point-mutation-mice",""
"ITL - Dynamic Ads","Services","https://www.genetargeting.com/post-project-services","Post Project Services","Custom mouse","Request a Quote","Post Project Services from ingenious targeting laboratory. Custom mouse model engineering","Custom mouse models since 1998. Expert team. Guaranteed results.","post-project-services",""
"ITL - Dynamic Ads","Services","https://www.genetargeting.com/preclinical-services","Preclinical Mouse Study","custom and","Request a Quote","Preclinical efficacy studies using custom and catalog mouse models. Drug screening,","Custom mouse models since 1998. Expert team. Guaranteed results.","preclinical-services",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/pricing-overview","Pricing Overview","Custom mouse","Request a Quote","Pricing Overview from ingenious targeting laboratory. Custom mouse model engineering","Custom mouse models since 1998. Expert team. Guaranteed results.","pricing-overview",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/publications","Scientific Publications","Scientific publications","Request a Quote","Scientific publications featuring iTL mouse models. Over 800 peer reviewed papers across","Custom mouse models since 1998. Expert team. Guaranteed results.","publications",""
"ITL - Dynamic Ads","Rare Disease","https://www.genetargeting.com/rare-disease-mouse-models","Rare Disease Mouse Models |","Rare disease mouse models for","Request a Quote","Rare disease mouse models for studying orphan diseases and genetic disorders. Patient","Custom mouse models since 1998. Expert team. Guaranteed results.","rare-disease-mouse-models",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/rat-models","Custom Rat Models","Custom knockout","Request a Quote","Custom knockout, knockin, and transgenic rat models for research. Larger size and","Custom mouse models since 1998. Expert team. Guaranteed results.","rat-models",""
"ITL - Dynamic Ads","Services","https://www.genetargeting.com/rederivation-services","Mouse Rederivation Services","Eliminate pathogens and clean","Request a Quote","Eliminate pathogens and clean up mouse lines with embryo transfer rederivation. Restore","Custom mouse models since 1998. Expert team. Guaranteed results.","rederivation-services",""
"ITL - Dynamic Ads","Knockin Services","https://www.genetargeting.com/reporter-knockin","Reporter Knockin Mouse Models","Reporter knockin mice for","Request a Quote","Reporter knockin mice for tracking gene expression and cell lineage. Insert GFP, lacZ,","Custom mouse models since 1998. Expert team. Guaranteed results.","reporter-knockin",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/reporter-mouse-catalog","Reporter Mouse Strain Catalog","GFP, tdTomato, LacZ, and","Request a Quote","GFP, tdTomato, LacZ, and luciferase reporter mice for gene expression studies. Track cell","Custom mouse models since 1998. Expert team. Guaranteed results.","reporter-mouse-catalog",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/research-applications","Mouse Model Research Applicati","Custom mouse","Request a Quote","Custom mouse models for target validation, drug discovery, biomarker research, and","Custom mouse models since 1998. Expert team. Guaranteed results.","research-applications",""
"ITL - Dynamic Ads","Resources","https://www.genetargeting.com/resources","Mouse Model Research Resources","Guides, FAQs, and educational","Request a Quote","Guides, FAQs, and educational content for planning mouse model experiments. Knockout","Custom mouse models since 1998. Expert team. Guaranteed results.","resources",""
"ITL - Dynamic Ads","Conditional Systems","https://www.genetargeting.com/rosa26","ROSA26 Safe Harbor Locus","ROSA26 safe harbor locus for","Request a Quote","ROSA26 safe harbor locus for reliable transgene expression. Ubiquitous expression without","Custom mouse models since 1998. Expert team. Guaranteed results.","rosa26",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/search","Search","Custom mouse","Request a Quote","Search from ingenious targeting laboratory. Custom mouse model engineering since 1998.","Custom mouse models since 1998. Expert team. Guaranteed results.","search",""
"ITL - Dynamic Ads","Disease Models","https://www.genetargeting.com/single-checkpoint-mice","Single Checkpoint Mice","Custom mouse","Request a Quote","Single Checkpoint Mice from ingenious targeting laboratory. Custom mouse model engineering","Custom mouse models since 1998. Expert team. Guaranteed results.","single-checkpoint-mice",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/speed-expansion-breeding","Speed Expansion Mouse Breeding","Accelerate colony expansion","Request a Quote","Accelerate colony expansion with optimized breeding strategies. Build experimental","Custom mouse models since 1998. Expert team. Guaranteed results.","speed-expansion-breeding",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/start-your-project","Start Your Mouse Model Project","custom mouse","Request a Quote","Request a consultation for your custom mouse model. Our scientists will help design the","Custom mouse models since 1998. Expert team. Guaranteed results.","start-your-project",""
"ITL - Dynamic Ads","Services","https://www.genetargeting.com/support-services","Mouse Model Support Services","Colony management, breeding,","Request a Quote","Colony management, breeding, genotyping, cryopreservation, and rederivation services.","Custom mouse models since 1998. Expert team. Guaranteed results.","support-services",""
"ITL - Dynamic Ads","Oncology","https://www.genetargeting.com/syngeneic-tumor-models","Syngeneic Tumor Models | ITL","Syngeneic tumor models for","Request a Quote","Syngeneic tumor models for immunotherapy testing with intact immune systems. Study tumor","Custom mouse models since 1998. Expert team. Guaranteed results.","syngeneic-tumor-models",""
"ITL - Dynamic Ads","Knockin Services","https://www.genetargeting.com/tag-knockin-mice","Epitope Tag Knockin Mouse","Tag knockin mice for protein","Request a Quote","Tag knockin mice for protein detection and purification. Insert FLAG, HA, V5, or Myc tags","Custom mouse models since 1998. Expert team. Guaranteed results.","tag-knockin-mice",""
"ITL - Dynamic Ads","Conditional Systems","https://www.genetargeting.com/tamoxifen-inducible-cre","Tamoxifen Inducible Cre","Tamoxifen inducible CreERT2","Request a Quote","Tamoxifen inducible CreERT2 for temporal control of gene deletion. Activate recombination","Custom mouse models since 1998. Expert team. Guaranteed results.","tamoxifen-inducible-cre",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/technologies","Technologies","Gene targeting technologies","Request a Quote","Gene targeting technologies including Cre LoxP, Flp FRT, ES cell targeting, and CRISPR","Custom mouse models since 1998. Expert team. Guaranteed results.","technologies",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/technology-overview","Gene Targeting Technology","Overview of gene targeting","Request a Quote","Overview of gene targeting technologies for mouse model generation. ES cell targeting,","Custom mouse models since 1998. Expert team. Guaranteed results.","technology-overview",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/thank-you","Thank You","Thank you for your inquiry","Request a Quote","Thank you for your inquiry. Our team will review your request and respond within one","Custom mouse models since 1998. Expert team. Guaranteed results.","thank-you",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/therapeutic-areas","Mouse Models by Therapeutic","Custom mouse","Request a Quote","Custom mouse models for oncology, neuroscience, immunology, cardiovascular, and metabolic","Custom mouse models since 1998. Expert team. Guaranteed results.","therapeutic-areas",""
"ITL - Dynamic Ads","Humanized Models","https://www.genetargeting.com/tim3-humanized-mice","TIM3 Humanized Mouse Models","TIM3 humanized mice expressing","Request a Quote","TIM3 humanized mice expressing human HAVCR2 for testing anti TIM3 checkpoint inhibitor","Custom mouse models since 1998. Expert team. Guaranteed results.","tim3-humanized-mice",""
"ITL - Dynamic Ads","Conditional Systems","https://www.genetargeting.com/tissue-specific-cre-lines","Tissue Specific Cre Driver","Tissue specific Cre lines for","Request a Quote","Tissue specific Cre lines for targeted gene deletion in specific cell types. Restrict","Custom mouse models since 1998. Expert team. Guaranteed results.","tissue-specific-cre-lines",""
"ITL - Dynamic Ads","Knockout Services","https://www.genetargeting.com/tissue-specific-knockout","Tissue Specific Knockout","Tissue specific knockout mice","Request a Quote","Tissue specific knockout mice using Cre LoxP to delete genes in targeted cell types.","Custom mouse models since 1998. Expert team. Guaranteed results.","tissue-specific-knockout",""
"ITL - Dynamic Ads","Services","https://www.genetargeting.com/transgenic-mouse-service","Transgenic Mouse Models |","2,500+ projects","Request a Quote","Transgenic mouse models for overexpression studies. Express genes of interest under","Custom mouse models since 1998. Expert team. Guaranteed results.","transgenic-mouse-service",""
"ITL - Dynamic Ads","General","https://www.genetargeting.com/transgenic-rat-models","Transgenic Rat Models","Custom transgenic","Request a Quote","Custom transgenic rat models expressing your gene of interest. Overexpression and tissue","Custom mouse models since 1998. Expert team. Guaranteed results.","transgenic-rat-models",""
"ITL - Dynamic Ads","Knockout Services","https://www.genetargeting.com/tumor-suppressor-knockout-mice","Tumor Suppressor Knockout","Tumor suppressor knockout","Request a Quote","Tumor suppressor knockout mice for cancer mechanism studies. P53, Rb, PTEN, and other","Custom mouse models since 1998. Expert team. Guaranteed results.","tumor-suppressor-knockout-mice",""
