Week,Day,Target Page,Post Copy (280 char max),URL,Char Count
10,Wednesday,LAG3 Humanized Mice,"LAG3 is the next wave of checkpoint immunotherapy. Multiple anti LAG3 antibodies are in trials, often combined with anti PD1. You need models expressing human LAG3. #LAG3 #IO",https://genetargeting.com/lag3-humanized-mice,198
10,Friday,TIM3 Humanized Mice,TIM3 plays unique roles in T cell exhaustion that other checkpoints don't cover. Testing human anti TIM3 agents requires a mouse expressing human TIM3. Stay ahead of the wave. #TIM3,https://genetargeting.com/tim3-humanized-mice,205
11,Monday,Receptor Humanized Mice,Your drug targets a human receptor. Your mouse has the mouse version with different binding kinetics and epitopes. Receptor humanized mice fix that mismatch. #Humanized #Preclinical,https://genetargeting.com/receptor-humanized-mice,205
11,Wednesday,Cytokine Humanized Mice,Human cytokines don't always signal through mouse receptors the same way. That mismatch gives you misleading preclinical data. Cytokine humanized mice solve this. #Cytokine #Humanized,https://genetargeting.com/cytokine-humanized-mice,207
11,Friday,F.A.S.T. Technology,"Some projects can't wait 12 months. F.A.S.T. technology skips chimera breeding entirely, going straight from ES cells to fully ES cell derived mice. Same precision, faster timeline. #FAST",https://genetargeting.com/fast-mice,211
12,Monday,Large Scale BAC Targeting,"Some genes are too big for standard vectors. BAC based targeting handles insertions of 50kb, 100kb, even 200kb+. When your project outgrows conventional approaches. #BAC #GeneTargeting",https://genetargeting.com/bac-to-bac-large-scale-targeting,208
12,Wednesday,Targeted Transgenics,"Random insertion transgenics are unpredictable. Targeted transgenics go into a safe harbor locus. Guaranteed expression, consistent levels, no position effects. #Transgenics #SafeHarbor",https://genetargeting.com/transgenic-mouse-service,209
12,Friday,Safe Harbor Locus,"A safe harbor locus lets you insert any transgene and get reliable expression without disrupting endogenous genes. Rosa26, HPRT, H11. Each with different advantages. #SafeHarbor",https://genetargeting.com/safe-harbor-locus,201
13,Monday,Rosa26 Locus,"Rosa26 is the most widely used safe harbor in mouse genetics. Ubiquitous expression, tolerates large insertions, doesn't disrupt development. Thousands of published models use it. #Rosa26",https://genetargeting.com/rosa26,211
13,Wednesday,Rapid Rosa26 Targeting,"Standard Rosa26 works. Rapid Rosa26 works faster. Pre characterized ES cells with the locus already targeted. Insert your transgene, compress the timeline. Same locus, fewer steps. #Rosa26",https://genetargeting.com/rapid-rosa26-targeting,212
13,Friday,HPRT Locus Targeting,HPRT offers something Rosa26 doesn't: built in positive and negative selection. Easier to identify correctly targeted clones. A powerful safe harbor alternative. #HPRT #SafeHarbor,https://genetargeting.com/hprt-locus-targeting,203
14,Monday,H11 Safe Harbor,"H11 is the newest safe harbor gaining traction. Strong ubiquitous expression like Rosa26 but at an independent locus. When Rosa26 is occupied, H11 gives you a second site. #H11",https://genetargeting.com/h11-safe-harbor,200
14,Wednesday,Catalog Mouse Models,"Not every project needs a custom build. Over 10,000 pre engineered mouse and rat models ready to go. Knockouts, knockins, reporters, Cre drivers, humanized checkpoints. Browse first. #Catalog",https://genetargeting.com/all-catalog-mouse-models,215
14,Friday,Humanized Catalog Models,"Off the shelf humanized models with human genes already integrated. Characterized, ready to breed, available now. Check the catalog before commissioning a custom build. #HumanizedMice",https://genetargeting.com/humanized-catalog-mouse-models,207
15,Monday,Checkpoint Mice Catalog,"Single AND double humanized immune checkpoint models in the catalog. PD1/CTLA4, PD1/LAG3, PD1/TIM3 combinations ready for immuno oncology studies. No custom build wait. #IO #Catalog",https://genetargeting.com/humanized-immune-checkpoint-mice,205
15,Wednesday,Cre Driver Catalog,Building a conditional knockout? You need a Cre driver for your tissue of interest. Our catalog has lines for major tissues and cell types ready to cross with your floxed model. #CreDriver,https://genetargeting.com/cre-driver-catalog,212
15,Friday,Reporter Mouse Catalog,"GFP, tdTomato, LacZ reporters ready to ship. Standalone or Rosa26 targeted, ready for Cre activation. Off the shelf, validated, ready to breed. #ReporterMice #Catalog",https://genetargeting.com/reporter-mouse-catalog,190
16,Monday,Oncology Mouse Models,"Cancer research needs models as complex as the disease. Tumor suppressor knockouts, oncogene activation, syngeneic backgrounds, humanized checkpoints. 26 years of building them. #Oncology",https://genetargeting.com/oncology-mouse-models,211
16,Wednesday,Tumor Suppressor KO Mice,"P53, BRCA1, RB1, APC, PTEN. Every major tumor suppressor has been studied using knockout mice. Model cancer initiation at the genetic level. #TumorSuppressor #Oncology",https://genetargeting.com/tumor-suppressor-knockout-mice,191
16,Friday,Oncogene Mouse Models,Tumor suppressors prevent cancer. Oncogenes drive it. Conditional knockins keep the oncogene silent until Cre activates it in a specific tissue. Controlled cancer on your timeline. #Oncogene,https://genetargeting.com/oncogene-mouse-models,214
17,Monday,Syngeneic Tumor Models,Immunotherapy testing needs an intact immune system. Syngeneic models use mouse cancer cells in immunocompetent hosts. The immune response is real. The workhorse of IO research. #Syngeneic,https://genetargeting.com/syngeneic-tumor-models,212
17,Wednesday,Immuno Oncology Models,"IO is where immunology meets cancer. You need intact immune systems, humanized checkpoints, and syngeneic backgrounds. Getting the model wrong means your drug never had a fair test. #IO",https://genetargeting.com/immuno-oncology-mouse-models,209
17,Friday,Cancer Drug Efficacy Models,"Your compound works in vitro. Now what? Cancer drug efficacy models test dosing, scheduling, and response in vivo with the target, tumor microenvironment, and immune system all present. #Oncology",https://genetargeting.com/cancer-drug-efficacy-models,219
18,Monday,Neuroscience Mouse Models,"Alzheimer's, Parkinson's, ALS, Huntington's, epilepsy, autism. Each neurological disease requires models with specific mutations, expression patterns, and behavioral phenotypes. #Neuroscience",https://genetargeting.com/neuroscience-mouse-models,215
18,Wednesday,Alzheimer's Mouse Models,"APP, PSEN1, MAPT, TREM2, APOE. Alzheimer's research depends on mice carrying the same mutations found in patients. The model you choose determines which pathology you can study. #Alzheimers",https://genetargeting.com/alzheimers-mouse-models,213
18,Friday,Parkinson's Mouse Models,Alpha synuclein aggregation. Dopaminergic neuron loss. Motor dysfunction. Parkinson's models recreate these hallmarks using knockins of human SNCA mutations. #Parkinsons #Neuroscience,https://genetargeting.com/parkinsons-mouse-models,207
19,Monday,Huntington's Mouse Models,Huntington's is caused by a CAG repeat expansion in HTT. The length determines severity. Mouse models carry humanized HTT with expanded repeats. Genetics drives the design. #Huntingtons,https://genetargeting.com/huntingtons-mouse-models,209
19,Wednesday,ALS Mouse Models,"SOD1, TDP43, FUS, C9orf72. ALS is genetically diverse and each gene produces different pathology. Match your model to your drug's mechanism of action. #ALS #MotorNeuron",https://genetargeting.com/als-mouse-models,192
19,Friday,Epilepsy Mouse Models,"Seizures from ion channel dysfunction. SCN1A, KCNQ2, GABRA1 knockouts and knockins that shift excitation and inhibition. Genetic models produce spontaneous, not just induced seizures. #Epilepsy",https://genetargeting.com/epilepsy-mouse-models,217
20,Monday,Autism Spectrum Models,"Autism isn't one disease. It's hundreds of variants converging on behavior. SHANK3, MECP2, FMR1, CNTNAP2 models help researchers understand which pathways drive which symptoms. #Autism",https://genetargeting.com/autism-mouse-models,208
20,Wednesday,Depression Anxiety Models,"Genetic models targeting serotonin transporters, BDNF, and CRF receptors produce measurable behavioral phenotypes that respond to pharmacological intervention. Better models, better drugs. #Psychiatry",https://genetargeting.com/depression-anxiety-mouse-models,224
20,Friday,Metabolic Disease Models,"Diabetes, obesity, NASH, lipid disorders. Metabolic disease is a global epidemic. Custom knockouts, knockins, and humanized models targeting metabolic pathways. #MetabolicDisease #Preclinical",https://genetargeting.com/metabolic-disease-mouse-models,215
21,Monday,Diabetes Mouse Models,"Type 1 and Type 2 diabetes have completely different pathologies and need different mouse models. T1D: autoimmune beta cell destruction. T2D: insulin resistance. One name, two diseases. #Diabetes",https://genetargeting.com/diabetes-mouse-models,219
21,Wednesday,Type 1 Diabetes Mice,"T1D is autoimmune. The immune system destroys insulin producing beta cells. Models need to capture immune mediated destruction, not just elevated blood glucose. #Type1Diabetes",https://genetargeting.com/type-1-diabetes-mice,199
21,Friday,Type 2 Diabetes Mice,"Insulin resistance, hyperglycemia, beta cell failure, obesity. T2D models need to recapitulate the metabolic syndrome, not just one symptom. Complex disease, complex models. #Type2Diabetes",https://genetargeting.com/type-2-diabetes-mice,212
22,Monday,Obesity Mouse Models,"Leptin, melanocortin, ghrelin, NPY, POMC. Obesity is driven by dozens of pathways. The right model depends on which one your therapeutic targets. Match the model to the mechanism. #Obesity",https://genetargeting.com/obesity-mouse-models,212
22,Wednesday,NASH MASH Mouse Models,"NASH (now MASH) is the leading cause of liver transplant with no approved drug. The race for therapeutics needs models that develop steatosis, inflammation, fibrosis, and ballooning. #NASH",https://genetargeting.com/nash-mash-mouse-models,212
22,Friday,Lipid Metabolism Mice,"Cholesterol, triglycerides, PCSK9, LDLR, APOE. Lipid metabolism models are essential for cardiovascular drug discovery and understanding how genetic variants affect circulating lipids. #Lipids",https://genetargeting.com/lipid-metabolism-mice,216
23,Monday,Metabolic Syndrome Mice,"Metabolic syndrome isn't one disease. Obesity, insulin resistance, dyslipidemia, hypertension all converging. Modeling it requires genetics that produce multiple phenotypes simultaneously. #MetSyn",https://genetargeting.com/metabolic-syndrome-mice,220
23,Wednesday,Immunology Mouse Models,"The immune system is the most complex network in the body. Autoimmunity, inflammation, allergy, IBD, lupus, RA. Each disorder has specific genetic drivers and model requirements. #Immunology",https://genetargeting.com/immunology-mouse-models,214
23,Friday,Autoimmune Disease Mice,"When the immune system attacks self. Models targeting CTLA4, Foxp3, AIRE, or specific TCR sequences drive self reactive responses. Understanding tolerance requires genetic precision. #Autoimmune",https://genetargeting.com/autoimmune-disease-mice,218
24,Monday,Inflammatory Disease Mice,"Chronic inflammation drives tissue damage in dozens of diseases. Models targeting TNF, IL6, IL1B, and NFkB let you dissect which signals matter and test anti inflammatory therapeutics. #Inflammation",https://genetargeting.com/inflammatory-disease-mice,222
24,Wednesday,Allergy Asthma Models,"Allergic airway inflammation, IgE overproduction, mast cell degranulation. Asthma models need genetics that recapitulate the Th2 skewed immune response seen in patients. #Asthma #Allergy",https://genetargeting.com/allergy-asthma-mouse-models,210
24,Friday,IBD Mouse Models,"Crohn's and ulcerative colitis affect millions. IBD models target barrier function, immune regulation, and microbiome interaction. IL10 knockouts, NOD2 mutants, T cell transfer. #IBD #Colitis",https://genetargeting.com/ibd-mouse-models,215
25,Monday,Lupus Mouse Models,"Lupus attacks virtually every organ. Models targeting Fas, complement, and TLR signaling produce autoantibodies, immune complex deposition, and the multi system pathology seen in SLE. #Lupus",https://genetargeting.com/lupus-mouse-models,214
25,Wednesday,Rheumatoid Arthritis Mice,"Joint inflammation, cartilage destruction, bone erosion. RA models targeting TNF, IL6, and T cell signaling produce arthritis that responds to the same biologics used in patients. #RA",https://genetargeting.com/rheumatoid-arthritis-mice,207
25,Friday,Cardiovascular Models,"Heart disease is the number one killer globally. Atherosclerosis, heart failure, hypertension, fibrosis. Each requires targeted genetic modifications to produce relevant pathology. #Cardio",https://genetargeting.com/cardiovascular-mouse-models,212
26,Monday,Atherosclerosis Models,"LDLR knockout, APOE knockout, PCSK9 overexpression. The workhorses of atherosclerosis research. Plaques on high fat diets that respond to lipid lowering interventions. #Atherosclerosis",https://genetargeting.com/atherosclerosis-mouse-models,208
26,Wednesday,Heart Failure Models,"Modeling heart failure requires genetic approaches producing cardiac dysfunction, not just hypertrophy. Conditional knockouts in cardiomyocytes with translational relevance. #HeartFailure",https://genetargeting.com/heart-failure-mouse-models,211
26,Friday,Hypertension Models,"Blood pressure involves kidneys, vasculature, nervous system, and endocrine. Hypertension models target renin angiotensin, endothelial NO, and sodium handling pathways. #Hypertension",https://genetargeting.com/hypertension-mouse-models,206
27,Monday,Cardiac Fibrosis Mice,Fibrosis is where heart disease gets irreversible. Collagen replaces functional myocardium. Models targeting TGF beta and fibroblast activation produce progressive cardiac fibrosis. #Fibrosis,https://genetargeting.com/cardiac-fibrosis-mice,215
27,Wednesday,Rare Disease Models,"Over 7,000 rare diseases. Most are genetic. Most have no treatment. Mouse models are often the only preclinical tool available. Every rare disease deserves a research model. #RareDisease",https://genetargeting.com/rare-disease-mouse-models,210
27,Friday,Lysosomal Storage Disease,"Gaucher's, Fabry's, Pompe, Tay Sachs. Enzyme deficiencies causing toxic substrate accumulation. Mouse models with the same mutations develop progressive multi organ pathology. #LSD #RareDisease",https://genetargeting.com/lysosomal-storage-disease-mice,217
28,Monday,Muscular Dystrophy Models,"Duchenne, Becker, limb girdle. Progressive muscle wasting from mutations in dystrophin and structural muscle proteins. Essential for testing gene therapy and exon skipping. #MuscularDystrophy",https://genetargeting.com/muscular-dystrophy-mouse-models,215
28,Wednesday,Cystic Fibrosis Mice,"CFTR is one gene but mutations produce disease across lungs, pancreas, liver, and intestines. CF models carry specific mutations like F508del for therapeutic testing. #CysticFibrosis",https://genetargeting.com/cystic-fibrosis-mice,206
28,Friday,Orphan Disease Models,"Orphan diseases each affect fewer than 200,000 people. But collectively, 30 million Americans. A custom mouse model is often the only preclinical tool that exists. #OrphanDisease",https://genetargeting.com/orphan-disease-mouse-models,202
29,Monday,Ophthalmology Models,"The eye is one of the most accessible organs for gene therapy. Retinal degeneration, glaucoma, macular degeneration. Each needs models with specific genetic modifications. #Ophthalmology",https://genetargeting.com/ophthalmology-mouse-models,210
29,Wednesday,Retinal Disease Mice,"Photoreceptor degeneration, RPE dysfunction, ganglion cell death. Retinal models carry rhodopsin, RPE65, or CRB1 mutations and develop progressive vision loss. #RetinalDisease",https://genetargeting.com/retinal-disease-mice,199
29,Friday,Glaucoma Mouse Models,Glaucoma: leading cause of irreversible blindness. Models targeting aqueous humor dynamics and RGC survival produce measurable IOP elevation and ganglion cell loss. #Glaucoma,https://genetargeting.com/glaucoma-mouse-models,198
30,Monday,Macular Degeneration Mice,"AMD is the leading cause of vision loss in adults over 60. Models targeting complement factors, VEGF signaling, and RPE biology produce drusen and neovascularization. #AMD #MacularDegeneration",https://genetargeting.com/macular-degeneration-mice,216
30,Wednesday,Gene Targeting Technologies,"There's more than one way to engineer a mouse genome. ES cell targeting, homologous recombination, selection cassettes. The right technology depends on your allele design. #GeneTargeting",https://genetargeting.com/gene-targeting-technologies,210
30,Friday,ES Cell Gene Targeting,ES cell targeting lets you characterize the allele BEFORE making the mouse. You know it's correct before investing in germline transmission. That's pre germline QC. #ESCells #GeneTargeting,https://genetargeting.com/es-cell-gene-targeting,212
31,Monday,ES Cell Advantages,"Southern blot confirmation, karyotype analysis, junction sequencing. All done on the ES cell clone before a single blastocyst is injected. QC that other approaches can't match. #ESCells",https://genetargeting.com/es-cell-advantages,209
31,Wednesday,Pre Germline Characterization,"Most gene targeting failures are found AFTER mouse generation. Pre germline characterization catches problems at the ES cell stage, before months of wasted breeding. #PreGermline #QC",https://genetargeting.com/pre-germline-characterization,206
31,Friday,Targeted ES Cell Clones,"A correctly targeted ES cell clone is the foundation of your entire model. We characterize every clone by Southern blot, PCR, and sequencing before proceeding. No shortcuts. #ESCells",https://genetargeting.com/targeted-es-cell-clones,206
32,Monday,Homologous Recombination,Homologous recombination uses the cell's own DNA repair to swap engineered sequence into the exact location you want. No random insertion. No off targets. Precise and site specific. #GeneTargeting,https://genetargeting.com/homologous-recombination-targeting,220
32,Wednesday,Selection Cassette Design,Every targeting vector needs a selection cassette. Neo or hygromycin? Flanked by FRT or loxP? Self excising or removable by breeding? The details shape your final allele. #SelectionCassette,https://genetargeting.com/selection-cassette-design,213
32,Friday,Neomycin Selection Cassette,Neomycin resistance is the most common selection marker in gene targeting. G418 kills untargeted cells. Flank with FRT sites for clean removal later. #Neomycin #GeneTargeting,https://genetargeting.com/neomycin-selection-cassette,198
33,Monday,Hygromycin Selection,"Already using Neo in your line? Hygromycin gives you a second selectable marker. Essential for sequential targeting when you need to modify a second allele. Two markers, one clone. #Hygromycin",https://genetargeting.com/hygromycin-selection-cassette,216
33,Wednesday,Self Excising Cassette,Traditional cassettes need a Cre or FLP cross to remove. Self excising cassettes remove themselves during germline transmission. No extra crosses. Weeks saved. #SelfExcising #GeneTargeting,https://genetargeting.com/self-excising-selection-cassette,212
33,Friday,Conditional Gene Targeting,"Conditional targeting gives you control that global modifications can't. Delete in one tissue. Activate at one timepoint. Cre lox, FLP FRT, and inducible systems make it possible. #Conditional",https://genetargeting.com/conditional-gene-targeting,216
34,Monday,Cre Lox System,"Two loxP sites. One Cre enzyme. Delete, invert, or activate any DNA sequence between them. The backbone of conditional genetics for three decades. Elegant, reliable, proven. #CreLox",https://genetargeting.com/cre-lox-system,205
34,Wednesday,loxP Site Design,Where you place loxP sites determines everything. Too close to the exon? Disrupted splicing. Wrong orientation? Inversion instead of deletion. Placement is an art backed by data. #loxP,https://genetargeting.com/loxp-site-design,208
34,Friday,Cre Recombinase Mice,"Your floxed mouse is half the equation. Cre drivers express Cre in specific tissues: Albumin for liver, Nestin for brain, LysM for macrophages. The driver determines WHERE it happens. #Cre",https://genetargeting.com/cre-recombinase-mice,212
35,Monday,Tissue Specific Cre Lines,"Hepatocytes, cardiomyocytes, podocytes, osteoblasts, adipocytes. Hundreds of Cre lines exist, each driving recombination in a defined cell population. Choose the right one. #CreLines",https://genetargeting.com/tissue-specific-cre-lines,206
35,Wednesday,FLP FRT System,"FLP FRT is the second major recombination system. FLP recognizes FRT sites like Cre recognizes loxP. Use it for a second layer of control independent of Cre. Two switches, one mouse. #FLPFRT",https://genetargeting.com/flp-frt-system,214
35,Friday,Dre Rox System,Cre lox. FLP FRT. Now Dre Rox. A third orthogonal recombination system. Dre recognizes Rox sites without cross reacting with loxP or FRT. Triple recombinase models are now possible. #DreRox,https://genetargeting.com/dre-rox-system,213
36,Monday,Inducible Gene Expression,Constitutive expression starts at conception. Inducible starts when you decide. Turn genes on or off at any point in the mouse's life. Temporal control changes what you can study. #Inducible,https://genetargeting.com/inducible-gene-expression,214
36,Wednesday,Tamoxifen Inducible Cre,"CreERT2 sits dormant until tamoxifen. Then it enters the nucleus and cuts at loxP sites. You choose when. Days, weeks, or months after birth. Timing is everything. #Tamoxifen #CreERT2",https://genetargeting.com/tamoxifen-inducible-cre,207
36,Friday,Doxycycline Inducible,"Dox in the water, gene turns on. Remove dox, gene turns off. Unlike tamoxifen Cre (permanent), doxycycline systems are reversible. When you need to turn a gene on AND off. #Doxycycline",https://genetargeting.com/doxycycline-inducible-systems,208
37,Monday,Tet On Tet Off Systems,"Tet On: add dox, gene activates. Tet Off: remove dox, gene activates. Same drug, opposite logic. Both are reversible and dose responsive with decades of validation. #TetSystem",https://genetargeting.com/tet-on-tet-off-systems,199
37,Wednesday,Allele Design Strategies,"The allele is the blueprint. Every loxP site, FRT site, cassette, and exon boundary must be designed up front. Good design anticipates derivative alleles and downstream needs. #AlleleDesign",https://genetargeting.com/allele-design-strategies,213
37,Friday,Derivative Alleles,"One targeted allele. Four mouse models. The derivative system (tm1a, tm1b, tm1c, tm1d) converts a single knockout first allele into a null, conditional, or reporter. Maximum flexibility. #Derivatives",https://genetargeting.com/derivative-alleles,223
38,Monday,tm1a Allele Design,"The tm1a allele is where it starts. Knockout first with a LacZ reporter and floxed exon. Default: null. Apply FLP: conditional (tm1c). Apply Cre: complete null (tm1b). One clone, three options. #tm1a",https://genetargeting.com/tm1a-allele-design,223
38,Wednesday,tm1b Allele Design,"tm1b is what you get when Cre removes the floxed exon and cassette from tm1a. Clean null allele with LacZ reporter still active. Gene deleted, loss of function confirmed visually. #tm1b",https://genetargeting.com/tm1b-allele-design,209
38,Friday,tm1c Floxed Allele,"tm1c is the conditional ready version. FLP removes the gene trap from tm1a, leaving a floxed critical exon. Cross with any Cre driver for tissue specific deletion (tm1d). #tm1c #Floxed",https://genetargeting.com/tm1c-floxed-allele,208
39,Monday,tm1d Null Allele,"tm1d: tissue specific deletion of the critical exon from a tm1c floxed allele. Cre removes the exon in your tissue of choice. Null in that tissue, normal everywhere else. #tm1d",https://genetargeting.com/tm1d-null-allele,200
39,Wednesday,Critical Exon Selection,"Which exon do you delete? It must be in all splice variants, disrupt reading frame when removed, and be large enough to prevent skipping. Get it wrong and you might still have protein. #ExonSelection",https://genetargeting.com/critical-exon-selection,223
39,Friday,Reading Frame Design,"Deleting an exon doesn't guarantee a null. If remaining exons stay in frame, you could get a truncated protein with partial function. Frame analysis during allele design prevents this. #ReadingFrame",https://genetargeting.com/reading-frame-design,222
40,Monday,Mouse Strain Backgrounds,"C57BL/6, BALB/c, 129, FVB. Each strain has different baseline biology, immune responses, and behavior. Choose the wrong background and you might miss your phenotype entirely. #StrainBackground",https://genetargeting.com/mouse-strain-backgrounds,216
40,Wednesday,C57BL/6 Background,"C57BL/6 is the most used inbred strain and the reference genome. Well characterized biology, extensive published data, compatible with most Cre drivers. When in doubt, BL/6 is the answer. #C57BL6",https://genetargeting.com/c57bl6-mouse-background,219
40,Friday,C57BL/6J vs C57BL/6N,Both are C57BL/6 but J and N are NOT the same. BL/6J has a natural Nnt mutation affecting glucose metabolism and redox. Mix them up and your metabolic data won't make sense. #BL6J #BL6N,https://genetargeting.com/c57bl6j-vs-c57bl6n,209
41,Monday,BALB/c Background,"BALB/c has a Th2 biased immune response. The preferred strain for immunology, allergy, and antibody production studies. Strain choice shapes your phenotype. #BALBc #Immunology",https://genetargeting.com/balbc-mouse-background,199
41,Wednesday,129 Strain Background,"The 129 strain is where the first ES cell lines came from. 129 ES cells target with high efficiency, making it the original workhorse for homologous recombination. #129Strain #ESCells",https://genetargeting.com/129-strain-mouse-background,207
41,Friday,FVB Background,"FVB mice have large pronuclei, making them preferred for pronuclear injection transgenics. They breed well, have large litters, and are albino for imaging. #FVB #Transgenics",https://genetargeting.com/fvb-mouse-background,197
42,Monday,Mixed Background Mice,"Many knockouts start on mixed 129/BL6 background. That genetic variability can affect your phenotype. Two mice with the same knockout but different flanking alleles, different results. #MixedBackground",https://genetargeting.com/mixed-background-mice,225
